task_key,trial_seed,condition,target_service_id,degrade_start_round,n_rounds,profile,lag_rounds,censored,trace_json,is_synthetic_data,n_switches
compliance_sensitive_backend,5000,global_fixed,qws_2197,8,20,sudden,2,False,"['qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_1644', 'qws_1644', 'qws_1644', 'qws_1644', 'qws_1644', 'qws_1644', 'qws_1644', 'qws_1644', 'qws_1644', 'qws_1644']",False,1
financial_transaction,5000,global_fixed,qws_2197,8,20,sudden,2,False,"['qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_1644', 'qws_1644', 'qws_1644', 'qws_1644', 'qws_1644', 'qws_1644', 'qws_1644', 'qws_1644', 'qws_1644', 'qws_1644']",False,1
compliance_sensitive_backend,5000,lookup_table,qws_2197,8,20,sudden,2,False,"['qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635']",False,1
financial_transaction,5000,lookup_table,qws_2197,8,20,sudden,2,False,"['qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2503', 'qws_2503', 'qws_2503', 'qws_2503', 'qws_2503', 'qws_2503', 'qws_2503', 'qws_2503', 'qws_2503', 'qws_2503']",False,1
low_cost_prototype,5000,global_fixed,qws_1746,8,20,sudden,2,False,"['qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1747', 'qws_1747', 'qws_1747', 'qws_1747', 'qws_1747', 'qws_1747', 'qws_1747', 'qws_1747', 'qws_1747', 'qws_1747']",False,1
iot_telemetry_ingestion,5000,global_fixed,qws_2279,8,20,sudden,2,False,"['qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667']",False,1
low_cost_prototype,5000,lookup_table,qws_1746,8,20,sudden,2,False,"['qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_2345', 'qws_2345', 'qws_2345', 'qws_2345', 'qws_2345', 'qws_2345', 'qws_2345', 'qws_2345', 'qws_2345', 'qws_2345']",False,1
iot_telemetry_ingestion,5000,lookup_table,qws_2279,8,20,sudden,2,False,"['qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667']",False,1
batch_processing,5000,global_fixed,qws_2199,8,20,sudden,2,False,"['qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058']",False,1
streaming,5000,global_fixed,qws_2199,8,20,sudden,2,False,"['qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058']",False,1
batch_processing,5000,lookup_table,qws_2199,8,20,sudden,2,False,"['qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058']",False,1
streaming,5000,lookup_table,qws_2199,8,20,sudden,2,False,"['qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058']",False,1
batch_processing,5000,agent_weights_only,qws_2199,8,20,sudden,0,False,"['qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058']",False,1
streaming,5000,agent_weights_only,qws_2199,8,20,sudden,0,False,"['qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917']",False,0
iot_telemetry_ingestion,5000,agent_weights_only,qws_2279,8,20,sudden,0,False,"['qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667']",False,1
compliance_sensitive_backend,5000,agent_weights_only,qws_2197,8,20,sudden,0,False,"['qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635']",False,1
financial_transaction,5000,agent_weights_only,qws_2197,8,20,sudden,0,False,"['qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635']",False,1
low_cost_prototype,5000,agent_weights_only,qws_1746,8,20,sudden,0,False,"['qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_2345', 'qws_2345', 'qws_2345', 'qws_2345', 'qws_2345', 'qws_2345', 'qws_2345', 'qws_2345', 'qws_2345', 'qws_2345', 'qws_2345', 'qws_2345']",False,1
batch_processing,5000,agent_full,qws_2199,8,20,sudden,0,False,"['qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_2199', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058', 'qws_1058']",False,1
streaming,5000,agent_full,qws_2199,8,20,sudden,0,False,"['qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917', 'qws_1917']",False,0
iot_telemetry_ingestion,5000,agent_full,qws_2279,8,20,sudden,0,False,"['qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_2279', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667', 'qws_0667']",False,1
compliance_sensitive_backend,5000,agent_full,qws_2197,8,20,sudden,0,False,"['qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_1689', 'qws_1689', 'qws_1689', 'qws_1689', 'qws_1689', 'qws_1689', 'qws_1689', 'qws_1689', 'qws_1689', 'qws_1689', 'qws_1689', 'qws_1689']",False,1
financial_transaction,5000,agent_full,qws_2197,8,20,sudden,0,False,"['qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_2197', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635', 'qws_0635']",False,1
low_cost_prototype,5000,agent_full,qws_1746,8,20,sudden,0,False,"['qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1746', 'qws_1747', 'qws_1747', 'qws_1747', 'qws_1747', 'qws_1747', 'qws_1747', 'qws_1747', 'qws_1747', 'qws_1747', 'qws_1747', 'qws_1747', 'qws_1747']",False,1
